JUMLAH KAMAR;NO. UNIT;NO. KAMAR;TENANT;KELAMIN;STATUS;WAKTU SEWA/TAHUN;RATE;CHECK IN;CHECK OUT
1;05A PUTRI;1B;;;Vacant;;Rp0;;
2;05A PUTRI;2B;;;Vacant;;Rp0;;
3;05A PUTRI;3B;;;Vacant;;Rp0;;
4;05A PUTRI;4B;;;Vacant;;Rp0;;
5;05B PUTRI;5B;;;Vacant;;Rp0;;
6;05B PUTRI;6B;;;Vacant;;Rp0;;
7;05B PUTRI;7B;;;Vacant;;Rp0;;
8;05B PUTRI;8B;;;Vacant;;Rp0;;
9;05C PUTRI;9A;;;Vacant;;Rp0;;
10;05C PUTRI;10A;;;Vacant;;Rp0;;
11;05C PUTRI;11A;;;Vacant;;Rp0;;
12;05C PUTRI;12A;;;Vacant;;Rp0;;
13;05D PUTRI;13A;;;Vacant;;Rp0;;
14;05D PUTRI;14A;;;Vacant;;Rp0;;
15;05D PUTRI;15A;;;Vacant;;Rp0;;
16;05D PUTRI;16A;;;Vacant;;Rp0;;
17;18A PUTRA;1B;;;Vacant;;Rp0;;
18;18A PUTRA;2B;;;Vacant;;Rp0;;
19;18A PUTRA;3B;;;Vacant;;Rp0;;
20;18A PUTRA;4B;;;Vacant;;Rp0;;
21;18B PUTRA;5B;;;Vacant;;Rp0;;
22;18B PUTRA;6B;;;Vacant;;Rp0;;
23;18B PUTRA;7B;;;Vacant;;Rp0;;
24;18B PUTRA;8B;;;Vacant;;Rp0;;
25;18C PUTRA;9B;;;Vacant;;Rp0;;
26;18C PUTRA;10B;;;Vacant;;Rp0;;
27;18C PUTRA;11B;;;Vacant;;Rp0;;
28;18C PUTRA;12B;;;Vacant;;Rp0;;
29;18D PUTRA;13A;;;Vacant;;Rp0;;
30;18D PUTRA;14A;;;Vacant;;Rp0;;
31;18D PUTRA;15A;;;Vacant;;Rp0;;
32;18D PUTRA;16A;;;Vacant;;Rp0;;
33;18E PUTRA;17A;;;Vacant;;Rp0;;
34;18E PUTRA;18A;;;Vacant;;Rp0;;
35;18E PUTRA;19A;;;Vacant;;Rp0;;
36;18E PUTRA;20A;;;Vacant;;Rp0;;
37;18F PUTRA;21A;;;Vacant;;Rp0;;
38;18F PUTRA;22A;;;Vacant;;Rp0;;
39;18F PUTRA;23A;;;Vacant;;Rp0;;
40;18F PUTRA;24A;;;Vacant;;Rp0;;
;;;;;;;;;
Putra;24;;;;SEWA PERBULAN;SEWA PERTAHUN;;;
Putri;16;;;;;;;;
Total;40;;;;;;;;
;;;;;;;;;
KETERANGAN;;;;;;;;;
Kode A;ATAS/LT.2;;;;;;;;
Kode B;BAWAN/LT.1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
KOST PUTRI;0;PUTRI;Rp0;;;;;;
TOTAL INHOUSE;0;TOTAL;Rp0;;;;;;
;;;;;;;;;
"LAPORAN ACHIEVMENT
ACHIEVMENT";"0,00%
Rp0";;;;;;;;
TARGET;Rp864.000.000;;;;;;;;
